zpid,sale_price,bedrooms,bathrooms,living_area,year_built,zipcode,lat,lon
1077522,78000.0,2.0,1.0,1816.0,1918.0,46201.0,39.761307,-86.11661
1085356,245000.0,2.0,2.0,2206.0,1910.0,46201.0,39.780403,-86.12351
1104044,95200.0,3.0,1.0,2066.0,1920.0,46201.0,39.777847,-86.096085
1108751,149000.0,2.0,2.0,1260.0,1955.0,46201.0,39.76008,-86.11561
1082586,150000.0,2.0,1.0,1824.0,1925.0,46201.0,39.76366,-86.091415
1102839,164900.0,2.0,1.0,1224.0,1917.0,46201.0,39.78389,-86.10035
1092164,540000.0,5.0,3.0,2652.0,2025.0,46201.0,39.770576,-86.11794
1093184,192000.0,2.0,1.0,2112.0,1930.0,46201.0,39.759834,-86.097824
1086178,315000.0,3.0,3.0,2159.0,2018.0,46201.0,39.778084,-86.116455
1099744,399000.0,4.0,3.0,1892.0,2025.0,46201.0,39.764378,-86.12726
1097659,139900.0,2.0,1.0,1688.0,1925.0,46201.0,39.776897,-86.09892
1080161,174900.0,2.0,1.0,1233.0,1920.0,46201.0,39.775795,-86.09363
1108123,299900.0,4.0,3.0,2427.0,1915.0,46201.0,39.77249,-86.08516
1072279,184900.0,2.0,1.0,1940.0,1915.0,46201.0,39.776917,-86.08376
1094963,139000.0,3.0,1.0,1428.0,1890.0,46201.0,39.77259,-86.129814
1101378,209000.0,2.0,1.0,1228.0,1939.0,46201.0,39.785114,-86.097176
1096923,355000.0,8.0,4.0,2688.0,1910.0,46201.0,39.77334,-86.110504
1105818,189990.0,3.0,2.0,2016.0,1953.0,46201.0,39.764317,-86.09603
1103313,124900.0,3.0,1.0,1100.0,1930.0,46201.0,39.76442,-86.12855
1096838,43900.0,1.0,1.0,674.0,1921.0,46201.0,39.772243,-86.11473
1079868,299900.0,3.0,3.0,2613.0,1910.0,46201.0,39.769123,-86.12855
1095810,119900.0,2.0,1.0,1596.0,1913.0,46201.0,39.776863,-86.09026
1084016,94900.0,3.0,2.0,2893.0,1910.0,46201.0,39.787567,-86.11782
1087478,250000.0,3.0,2.0,2649.0,1925.0,46201.0,39.78006,-86.11644
1105465,204900.0,2.0,1.0,2700.0,1924.0,46201.0,39.780357,-86.09784
1074837,265000.0,2.0,2.0,2448.0,1913.0,46201.0,39.778667,-86.1152
1086016,259900.0,3.0,2.0,1228.0,1910.0,46201.0,39.784313,-86.11782
303787500,310000.0,3.0,2.0,1435.0,2021.0,46201.0,39.774796,-86.12108
1108211,170000.0,2.0,1.0,2026.0,1920.0,46201.0,39.772068,-86.09044
1076475,200000.0,2.0,1.0,1224.0,1930.0,46201.0,39.7856,-86.098434
1076700,659900.0,4.0,3.0,3957.0,1900.0,46201.0,39.770245,-86.135155
1090626,189900.0,3.0,2.0,1636.0,1920.0,46201.0,39.787125,-86.10033
1091640,155000.0,3.0,2.0,1564.0,1917.0,46201.0,39.78218,-86.10354
1096465,160000.0,3.0,2.0,1778.0,1960.0,46201.0,39.770447,-86.09477
1091901,240000.0,3.0,2.0,3129.0,1890.0,46201.0,39.780525,-86.11971
1111400,129000.0,2.0,2.0,1728.0,1945.0,46201.0,39.76012,-86.11112
1085336,85000.0,3.0,1.0,2154.0,1918.0,46201.0,39.784462,-86.10806
1087376,120000.0,3.0,1.0,1068.0,1965.0,46201.0,39.776897,-86.09296
1100140,124900.0,2.0,1.0,1764.0,1925.0,46201.0,39.77897,-86.10138
1071242,184900.0,2.0,1.0,2170.0,1922.0,46201.0,39.78094,-86.08494
1084576,234900.0,4.0,2.0,1599.0,1911.0,46201.0,39.760956,-86.11425
1088142,169900.0,2.0,1.0,2206.0,1920.0,46201.0,39.767216,-86.09591
1088260,200000.0,3.0,1.0,2000.0,1915.0,46201.0,39.77283,-86.08778
1114130,450000.0,5.0,5.0,3080.0,2025.0,46201.0,39.770836,-86.1041
1096241,189900.0,3.0,2.0,2061.0,1941.0,46201.0,39.782852,-86.097145
1104217,129500.0,3.0,2.0,2016.0,1902.0,46201.0,39.772648,-86.095215
308924620,299900.0,3.0,2.0,1412.0,2025.0,46201.0,39.771038,-86.12026
1077191,139900.0,2.0,1.0,1638.0,1930.0,46201.0,39.777336,-86.09247
457172027,155000.0,2.0,2.0,998.0,1900.0,46201.0,39.785072,-86.11125
1090409,151000.0,2.0,1.0,998.0,1900.0,46201.0,39.785007,-86.11131
2076225931,244900.0,3.0,2.0,1984.0,2020.0,46201.0,39.776825,-86.11051
339153601,429900.0,3.0,3.0,1876.0,2022.0,46201.0,39.76008,-86.13844
1088679,225000.0,2.0,2.0,1776.0,1955.0,46201.0,39.7749,-86.10022
1071750,240000.0,4.0,2.0,1592.0,1890.0,46201.0,39.773975,-86.093575
1077659,220000.0,3.0,2.0,1744.0,1954.0,46201.0,39.765472,-86.10171
1088935,149000.0,3.0,2.0,2924.0,1900.0,46201.0,39.77054,-86.10192
1103968,110000.0,2.0,1.0,672.0,1943.0,46201.0,39.78801,-86.09966
1076770,229765.0,3.0,2.0,1368.0,1900.0,46201.0,39.759495,-86.1324
1108039,119900.0,2.0,1.0,1558.0,1924.0,46201.0,39.777653,-86.09965
121078135,299000.0,3.0,4.0,4065.0,1900.0,46201.0,39.770206,-86.13503
1108509,115000.0,2.0,1.0,1606.0,1928.0,46201.0,39.78261,-86.098015
1095739,265000.0,3.0,2.0,1822.0,1910.0,46201.0,39.768047,-86.12811
1089545,92000.0,2.0,1.0,1620.0,1921.0,46201.0,39.773037,-86.119026
1076188,199900.0,2.0,1.0,1884.0,1940.0,46201.0,39.762863,-86.1171
1082986,209000.0,4.0,2.0,2628.0,1955.0,46201.0,39.788284,-86.11624
1076566,404000.0,4.0,4.0,2574.0,1900.0,46201.0,39.769897,-86.130936
1101148,275000.0,5.0,3.0,3518.0,1955.0,46201.0,39.769844,-86.12327
1091746,141900.0,2.0,1.0,1795.0,1910.0,46201.0,39.77965,-86.114494
1117715,159900.0,2.0,1.0,2050.0,1965.0,46201.0,39.788574,-86.10472
1095165,199900.0,2.0,1.0,2000.0,1919.0,46201.0,39.768456,-86.09639
1102379,174900.0,2.0,1.0,1258.0,1955.0,46201.0,39.76188,-86.11308
1107474,140000.0,2.0,1.0,2184.0,1900.0,46201.0,39.787083,-86.106155
1071971,167000.0,2.0,1.0,1700.0,1952.0,46201.0,39.764805,-86.10064
456835674,190000.0,3.0,2.0,1190.0,2025.0,46201.0,39.770428,-86.12865
444226734,200000.0,4.0,2.0,1763.0,1955.0,46201.0,39.765934,-86.08554
1096351,220000.0,3.0,2.0,2156.0,1921.0,46201.0,39.780373,-86.09027
1107054,218500.0,3.0,1.0,2480.0,1920.0,46201.0,39.7841,-86.12369
1090268,175000.0,3.0,3.0,1970.0,1920.0,46201.0,39.762955,-86.12982
1097252,199000.0,3.0,1.0,1890.0,1910.0,46201.0,39.784134,-86.10504
112836099,415000.0,3.0,4.0,1950.0,2025.0,46201.0,39.76376,-86.13325
1080801,179000.0,2.0,1.0,1224.0,1929.0,46201.0,39.782253,-86.09992
1102145,319900.0,5.0,2.0,2986.0,1890.0,46201.0,39.768227,-86.12856
447432800,575000.0,4.0,4.0,2250.0,2025.0,46201.0,39.788776,-86.12324
1078356,315000.0,3.0,2.0,1690.0,2025.0,46201.0,39.773415,-86.119705
1106984,175000.0,2.0,1.0,1482.0,1922.0,46201.0,39.767803,-86.11148
1119468,535000.0,5.0,3.0,4200.0,1910.0,46201.0,39.77678,-86.129616
1073642,220000.0,3.0,2.0,1380.0,2025.0,46201.0,39.78552,-86.10464
1089293,205000.0,3.0,2.0,1560.0,1920.0,46201.0,39.779636,-86.10575
1082008,79900.0,2.0,1.0,2355.0,1901.0,46201.0,39.774357,-86.10129
1095402,258900.0,3.0,3.0,2430.0,1916.0,46201.0,39.784233,-86.10729
1102762,340000.0,4.0,3.0,2498.0,1921.0,46201.0,39.784824,-86.10865
2108971634,165000.0,3.0,2.0,2370.0,1911.0,46201.0,39.768093,-86.12715
1109326,165000.0,3.0,2.0,2370.0,1911.0,46201.0,39.768135,-86.12715
1091627,129000.0,3.0,1.0,1470.0,1930.0,46201.0,39.77375,-86.11625
1083994,199999.0,4.0,2.0,2760.0,1920.0,46201.0,39.770218,-86.12626
1096536,329900.0,3.0,4.0,1932.0,1920.0,46201.0,39.768818,-86.13042
1102281,209900.0,3.0,2.0,1284.0,1912.0,46201.0,39.780643,-86.10708
1082213,183000.0,2.0,1.0,1742.0,1924.0,46201.0,39.779736,-86.08862
1079819,194000.0,4.0,2.0,1596.0,1920.0,46201.0,39.776314,-86.09726
1102738,330000.0,4.0,2.0,3155.0,1898.0,46201.0,39.77002,-86.13372
1104737,298000.0,3.0,3.0,1540.0,1896.0,46201.0,39.776295,-86.11831
1091104,500000.0,6.0,4.0,2877.0,1955.0,46201.0,39.786774,-86.12861
1085921,150000.0,2.0,2.0,1224.0,1918.0,46201.0,39.784115,-86.10035
