zpid,address,sale_price,bedrooms,bathrooms,living_area,year_built,zipcode,lat,lon,lot_area_value,lot_area_unit,lot_area_sqft
1077522,"416 S Rural St, Indianapolis, IN 46201",78000.0,2.0,1.0,1816.0,1918.0,46201.0,39.761307,-86.11661,3920.4,sqft,3920.4
1085356,"931 Jefferson Ave, Indianapolis, IN 46201",245000.0,2.0,2.0,2206.0,1910.0,46201.0,39.780403,-86.12351,5227.2,sqft,5227.2
112855677,"2814 E Michigan St, Indianapolis, IN 46201",600000.0,2.0,2.0,,2025.0,46201.0,39.774734,-86.116066,4791.6,sqft,4791.6
450594621,"2810 E Michigan St, Indianapolis, IN 46201",600000.0,2.0,2.0,,2025.0,46201.0,39.774734,-86.11619,4791.6,sqft,4791.6
1104044,"813 N Gladstone Ave, Indianapolis, IN 46201",95200.0,3.0,1.0,2066.0,1920.0,46201.0,39.777847,-86.096085,4791.6,sqft,4791.6
1108751,"2820 English Ave, Indianapolis, IN 46201",149000.0,2.0,2.0,1260.0,1955.0,46201.0,39.76008,-86.11561,4791.6,sqft,4791.6
2058762743,"835-837 N Gray St, Indianapolis, IN 46201",150000.0,4.0,2.0,,1910.0,46201.0,39.778473,-86.11157,4530.24,sqft,4530.24
1119972,"1105 N Parker Ave, Indianapolis, IN 46201",169000.0,4.0,2.0,,1928.0,46201.0,39.78275,-86.113495,5227.2,sqft,5227.2
112849755,"226 N Randolph St, Indianapolis, IN 46201",499000.0,2.0,2.0,,2025.0,46201.0,39.769756,-86.12867,5662.8,sqft,5662.8
112860035,"227 N Hamilton Ave, Indianapolis, IN 46201",499000.0,2.0,2.0,,2025.0,46201.0,39.770428,-86.12511,5227.2,sqft,5227.2
1082586,"4609 Brookville Rd, Indianapolis, IN 46201",150000.0,2.0,1.0,1824.0,1925.0,46201.0,39.76366,-86.091415,8276.4,sqft,8276.4
1102839,"1213 N Denny St, Indianapolis, IN 46201",164900.0,2.0,1.0,1224.0,1917.0,46201.0,39.78389,-86.10035,5227.2,sqft,5227.2
1092164,"220 Eastern Ave, Indianapolis, IN 46201",540000.0,5.0,3.0,2652.0,2025.0,46201.0,39.770576,-86.11794,4791.6,sqft,4791.6
1093184,"3949 English Ave, Indianapolis, IN 46201",192000.0,2.0,1.0,2112.0,1930.0,46201.0,39.759834,-86.097824,5227.2,sqft,5227.2
1086178,"809 N Rural St, Indianapolis, IN 46201",315000.0,3.0,3.0,2159.0,2018.0,46201.0,39.778084,-86.116455,5662.8,sqft,5662.8
2058762783,"833-835 N Riley Ave, Indianapolis, IN 46201",200000.0,2.0,2.0,,1920.0,46201.0,39.779953,-86.08572,6098.4,sqft,6098.4
339898833,"333 N Chester Ave, Indianapolis, IN 46201",150000.0,4.0,2.0,,1920.0,46201.0,39.773083,-86.09844,5227.2,sqft,5227.2
